CONSTTK const
INTTK integer
IDENFR const1
ASSIGN =
INTCON 1
COMMA ,
IDENFR const2
ASSIGN =
MINU -
INTCON 100
SEMICN ;
INTTK integer
IDENFR change1
SEMICN ;
INTTK integer
IDENFR gets1
LPARENT (
INTTK integer
IDENFR var1
COMMA ,
INTTK integer
IDENFR var2
RPARENT )
LBRACE {
IDENFR const1
ASSIGN =
INTCON 999
SEMICN ;
IDENFR change1
ASSIGN =
IDENFR var1
PLUS +
IDENFR var2
RETURNTK return
LPARENT (
IDENFR change1
RPARENT )
SEMICN ;
RBRACE }
INTTK integer
MAINTK main
LPARENT (
RPARENT )
LBRACE {
IDENFR change1
ASSIGN =
INTCON 10
SEMICN ;
IFTK if
LPARENT (
INTCON 1
AND &
INTCON 1
RPARENT )
PRINTFTK printf
LPARENT (
STRCON "Hello World$"
RPARENT )
SEMICN ;
RETURNTK return
INTCON 0
SEMICN ;
RBRACE }
